,SNO,NAME OF COMPANY,SYMBOL
836,836,Lasa Supergenerics Limited,LASA
837,837,Laurus Labs Limited,LAURUSLABS
838,838,Lakshmi Machine Works Limited,LAXMIMACH
839,839,Lemon Tree Hotels Limited,LEMONTREE
840,840,Lakshmi Finance & Industrial Corporation Limited,LFIC
841,841,LG Balakrishnan & Bros Limited,LGBBROSLTD
842,842,LGB Forge Limited,LGBFORGE
843,843,Libas Designs Limited,LIBAS
844,844,Libas Designs Limited,LIBAS
845,845,Liberty Shoes Limited,LIBERTSHOE
846,846,LIC Housing Finance Limited,LICHSGFIN
847,847,Lincoln Pharmaceuticals Limited,LINCOLN
848,848,Linc Pen & Plastics Limited,LINCPEN
849,849,Linde India Limited,LINDEINDIA
850,850,Lokesh Machines Limited,LOKESHMACH
851,851,Lotus Eye Hospital and Institute Limited,LOTUSEYE
852,852,Lovable Lingerie Limited,LOVABLE
853,853,Landmark Property Development Company Limited,LPDC
854,854,Lloyds Steels Industries Limited,LSIL
855,855,Larsen & Toubro Limited,LT
856,856,Larsen & Toubro Infotech Limited,LTI
857,857,L&T Technology Services Limited,LTTS
858,858,Lumax Industries Limited,LUMAXIND
859,859,Lumax Auto Technologies Limited,LUMAXTECH
860,860,Lupin Limited,LUPIN
861,861,Lux Industries Limited,LUXIND
862,862,Lyka Labs Limited,LYKALABS
863,863,Lypsa Gems & Jewellery Limited,LYPSAGEMS
864,864,Mahindra & Mahindra Limited,M&M
865,865,Mahindra & Mahindra Financial Services Limited,M&MFIN
866,866,Maan Aluminium Limited,MAANALU
867,867,Madhav Marbles and Granites Limited,MADHAV
868,868,Madhucon Projects Limited,MADHUCON
869,869,Madras Fertilizers Limited,MADRASFERT
870,870,Magadh Sugar & Energy Limited,MAGADSUGAR
871,871,Magma Fincorp Limited,MAGMA
872,872,Magnum Ventures Limited,MAGNUM
873,873,Bank of Maharashtra,MAHABANK
874,874,Maha Rashtra Apex Corporation Limited,MAHAPEXLTD
875,875,Mahamaya Steel Industries Limited,MAHASTEEL
876,876,Maheshwari Logistics Limited,MAHESHWARI
877,877,Mahindra CIE Automotive Limited,MAHINDCIE
878,878,Mahindra Lifespace Developers Limited,MAHLIFE
879,879,Mahindra Logistics Limited,MAHLOG
880,880,Maharashtra Scooters Limited,MAHSCOOTER
881,881,Maharashtra Seamless Limited,MAHSEAMLES
882,882,Maithan Alloys Limited,MAITHANALL
883,883,Majesco Limited,MAJESCO
884,884,Malu Paper Mills Limited,MALUPAPER
885,885,Manaksia Aluminium Company Limited,MANAKALUCO
886,886,Manaksia Coated Metals & Industries Limited,MANAKCOAT
887,887,Manaksia Limited,MANAKSIA
888,888,Manaksia Steels Limited,MANAKSTEEL
889,889,Manali Petrochemicals Limited,MANALIPETC
890,890,Manappuram Finance Limited,MANAPPURAM
891,891,Mangalam Drugs And Organics Limited,MANGALAM
892,892,Mangalore Chemicals & Fertilizers Limited,MANGCHEFER
893,893,Mangalam Cement Limited,MANGLMCEM
894,894,Mangalam Timber Products Limited,MANGTIMBER
895,895,Man Industries (India) Limited,MANINDS
896,896,Man Infraconstruction Limited,MANINFRA
897,897,Manpasand Beverages Limited,MANPASAND
898,898,Manugraph India Limited,MANUGRAPH
899,899,Maral Overseas Limited,MARALOVER
900,900,Marathon Nextgen Realty Limited,MARATHON
901,901,Marico Limited,MARICO
902,902,Marksans Pharma Limited,MARKSANS
903,903,Maruti Suzuki India Limited,MARUTI
904,904,MAS Financial Services Limited,MASFIN
905,905,Mask Investments Limited,MASKINVEST
906,906,Mastek Limited,MASTEK
907,907,Matrimony.Com Limited,MATRIMONY
908,908,Mawana Sugars Limited,MAWANASUG
909,909,Max India Limited,MAXINDIA
910,910,Max Ventures and Industries Limited,MAXVIL
911,911,Mayur Uniquoters Ltd,MAYURUNIQ
912,912,Mazda Limited,MAZDA
913,913,Madhya Bharat Agro Products Limited,MBAPL
914,914,Mcnally Bharat Engineering Company Limited,MBECL
915,915,MBL Infrastructures Limited,MBLINFRA
916,916,McDowell Holdings Limited,MCDHOLDING
917,917,United Spirits Limited,MCDOWELL-N
918,918,Mcleod Russel India Limited,MCLEODRUSS
919,919,Multi Commodity Exchange of India Limited,MCX
920,920,Megasoft Limited,MEGASOFT
921,921,Meghmani Organics Limited,MEGH
922,922,Melstar Information Technologies Limited,MELSTAR
923,923,Menon Bearings Limited,MENONBE
924,924,MEP Infrastructure Developers Limited,MEP
925,925,Mercator Limited,MERCATOR
926,926,Metalyst Forgings Limited,METALFORGE
927,927,Metkore Alloys & Industries Limited,METKORE
928,928,Metropolis Healthcare Limited,METROPOLIS
929,929,Max Financial Services Limited,MFSL
930,930,Mahanagar Gas Limited,MGL
931,931,Mahindra Holidays & Resorts India Limited,MHRIL
932,932,MIC Electronics Limited,MIC
933,933,Mishra Dhatu Nigam Limited,MIDHANI
934,934,Minda Corporation Limited,MINDACORP
935,935,Minda Industries Limited,MINDAIND
936,936,Mindteck (India) Limited,MINDTECK
937,937,MindTree Limited,MINDTREE
938,938,MIRC Electronics Limited,MIRCELECTR
939,939,Mirza International Limited,MIRZAINT
940,940,MM Forgings Limited,MMFL
941,941,MMTC Limited,MMTC
942,942,Modi Rubber Limited,MODIRUBBER
943,943,Mohit Industries Limited,MOHITIND
944,944,Mohota Industries Limited,MOHOTAIND
945,945,MOIL Limited,MOIL
946,946,Mold-Tek Technologies Limited,MOLDTECH
947,947,Mold-Tek Packaging Limited,MOLDTKPAC
948,948,Monte Carlo Fashions Limited,MONTECARLO
949,949,Morarjee Textiles Limited,MORARJEE
950,950,Morepen Laboratories Limited,MOREPENLAB
951,951,Motherson Sumi Systems Limited,MOTHERSUMI
952,952,Motilal Oswal Financial Services Limited,MOTILALOFS
953,953,The Motor & General Finance Limited,MOTOGENFIN
954,954,MphasiS Limited,MPHASIS
955,955,MPS Limited,MPSLTD
956,956,MRF Limited,MRF
957,957,MRO-TEK Realty Limited,MRO-TEK
958,958,Mangalore Refinery and Petrochemicals Limited,MRPL
959,959,MSP Steel & Power Limited,MSPL
960,960,Mstc Limited,MSTCLTD
961,961,MT Educare Limited,MTEDUCARE
962,962,Mahanagar Telephone Nigam Limited,MTNL
963,963,Mukand Engineers Limited,MUKANDENGG
964,964,Mukand Limited,MUKANDLTD
965,965,Mukta Arts Limited,MUKTAARTS
966,966,Munjal Auto Industries Limited,MUNJALAU
967,967,Munjal Showa Limited,MUNJALSHOW
968,968,Murudeshwar Ceramics Limited,MURUDCERA
969,969,Muthoot Capital Services Limited,MUTHOOTCAP
970,970,Muthoot Finance Limited,MUTHOOTFIN
971,971,MVL Limited,MVL
972,972,NACL Industries Limited,NACLIND
973,973,Nagarjuna Fertilizers and Chemicals Limited,NAGAFERT
974,974,Nagarjuna Oil Refinery Limited,NAGAROIL
975,975,Nagreeka Capital & Infrastructure Limited,NAGREEKCAP
976,976,Nagreeka Exports Limited,NAGREEKEXP
977,977,Nahar Capital and Financial Services Limited,NAHARCAP
978,978,Nahar Industrial Enterprises Limited,NAHARINDUS
979,979,Nahar Poly Films Limited,NAHARPOLY
980,980,Nahar Spinning Mills Limited,NAHARSPING
981,981,Natco Pharma Limited,NATCOPHARM
982,982,Nath Bio-Genes (India) Limited,NATHBIOGEN
983,983,National Aluminium Company Limited,NATIONALUM
984,984,National Steel And Agro Industries Limited,NATNLSTEEL
985,985,Info Edge (India) Limited,NAUKRI
986,986,Navin Fluorine International Limited,NAVINFLUOR
987,987,Navkar Corporation Limited,NAVKARCORP
988,988,Navneet Education Limited,NAVNETEDUL
989,989,NBCC (India) Limited,NBCC
990,990,N. B. I. Industrial Finance Company Limited,NBIFIN
991,991,Nava Bharat Ventures Limited,NBVENTURES
992,992,NCC Limited,NCC
993,993,NCL Industries Limited,NCLIND
994,994,Naga Dhunseri Group Limited,NDGL
995,995,Nandan Denim Limited,NDL
996,996,New Delhi Television Limited,NDTV
997,997,North Eastern Carrying Corporation Limited,NECCLTD
998,998,Nectar Lifesciences Limited,NECLIFE
999,999,Nelcast Limited,NELCAST
1000,1000,NELCO Limited,NELCO
1001,1001,Neogen Chemicals Limited,NEOGEN
1002,1002,Nesco Limited,NESCO
1003,1003,Nestle India Limited,NESTLEIND
1004,1004,Network18 Media & Investments Limited,NETWORK18
1005,1005,Neuland Laboratories Limited,NEULANDLAB
1006,1006,Newgen Software Technologies Limited,NEWGEN
1007,1007,Next Mediaworks Limited,NEXTMEDIA
1008,1008,National Fertilizers Limited,NFL
1009,1009,Narayana Hrudayalaya Ltd.,NH
1010,1010,NHPC Limited,NHPC
1011,1011,The New India Assurance Company Limited,NIACL
1012,1012,NRB Industrial Bearings Limited,NIBL
1013,1013,NIIT Limited,NIITLTD
1014,1014,NIIT Technologies Limited,NIITTECH
1015,1015,Nila Infrastructures Limited,NILAINFRA
1016,1016,Nila Spaces Limited,NILASPACES
1017,1017,Nilkamal Limited,NILKAMAL
1018,1018,Indo-National Limited,NIPPOBATRY
1019,1019,Niraj Ispat Industries Limited,NIRAJISPAT
1020,1020,Nitco Limited,NITCO
1021,1021,Nitin Fire Protection Industries Limited,NITINFIRE
1022,1022,Nitin Spinners Limited,NITINSPIN
1023,1023,NK Industries Limited,NKIND
1024,1024,NLC India Limited,NLCINDIA
1025,1025,NMDC Limited,NMDC
1026,1026,NOCIL Limited,NOCIL
1027,1027,Noida Toll Bridge Company Limited,NOIDATOLL
1028,1028,Norben Tea & Exports Limited,NORBTEAEXP
1029,1029,N R Agarwal Industries Limited,NRAIL
1030,1030,NRB Bearing Limited,NRBBEARING
1031,1031,Nalwa Sons Investments Limited,NSIL
1032,1032,Neueon Towers Limited,NTL
1033,1033,NTPC Limited,NTPC
1034,1034,Nucleus Software Exports Limited,NUCLEUS
1035,1035,NXTDIGITAL LIMITED,NXTDIGITAL
1036,1036,Oriental Aromatics Limited,OAL
1037,1037,Oberoi Realty Limited,OBEROIRLTY
1038,1038,Oriental Carbon & Chemicals Limited,OCCL
1039,1039,Oracle Financial Services Software Limited,OFSS
1040,1040,Oil India Limited,OIL
1041,1041,Oil Country Tubular Limited,OILCOUNTUB
1042,1042,OCL Iron and Steel Limited,OISL
1043,1043,Olectra Greentech Limited,OLECTRA
1044,1044,Omax Autos Limited,OMAXAUTO
1045,1045,Omaxe Limited,OMAXE
1046,1046,Omkar Speciality Chemicals Limited,OMKARCHEM
1047,1047,OM Metals Infraprojects Limited,OMMETALS
1048,1048,Onelife Capital Advisors Limited,ONELIFECAP
1049,1049,One Point One Solutions Limited,ONEPOINT
1050,1050,Oil & Natural Gas Corporation Limited,ONGC
1051,1051,OnMobile Global Limited,ONMOBILE
1052,1052,Onward Technologies Limited,ONWARDTEC
1053,1053,Optiemus Infracom Limited,OPTIEMUS
1054,1054,Opto Circuits (India) Limited,OPTOCIRCUI
1055,1055,Orbit Exports Limited,ORBTEXP
1056,1056,Oricon Enterprises Limited,ORICONENT
1057,1057,Orient Abrasives Limited,ORIENTABRA
1058,1058,Oriental Trimex Limited,ORIENTALTL
1059,1059,Oriental Bank of Commerce,ORIENTBANK
1060,1060,Orient Bell Limited,ORIENTBELL
1061,1061,Orient Cement Limited,ORIENTCEM
1062,1062,Orient Electric Limited,ORIENTELEC
1063,1063,Oriental Hotels Limited,ORIENTHOT
1064,1064,Orient Press Limited,ORIENTLTD
1065,1065,Orient Paper & Industries Limited,ORIENTPPR
1066,1066,Orient Refractories Limited,ORIENTREF
1067,1067,The Orissa Minerals Development Company Limited,ORISSAMINE
1068,1068,Ortel Communications Limited,ORTEL
1069,1069,Ortin Laboratories Limited,ORTINLABSS
1070,1070,Oswal Agro Mills Limited,OSWALAGRO
1071,1071,PAE Limited,PAEL
1072,1072,Page Industries Limited,PAGEIND
1073,1073,Paisalo Digital Limited,PAISALO
1074,1074,Palash Securities Limited,PALASHSECU
1075,1075,Palred Technologies Limited,PALREDTEC
1076,1076,Panacea Biotec Limited,PANACEABIO
1077,1077,Panama Petrochem Limited,PANAMAPET
1078,1078,Huhtamaki PPL Limited,PAPERPROD
1079,1079,Parabolic Drugs Limited,PARABDRUGS
1080,1080,Paramount Communications Limited,PARACABLES
1081,1081,Parag Milk Foods Limited,PARAGMILK
1082,1082,Parsvnath Developers Limited,PARSVNATH
1083,1083,Patel Engineering Limited,PATELENG
1084,1084,Patel Integrated Logistics Limited,PATINTLOG
1085,1085,Patspin India Limited,PATSPINLTD
1086,1086,PC Jeweller Limited,PCJEWELLER
1087,1087,Pudumjee Paper Products Limited,PDMJEPAPER
1088,1088,Parenteral Drugs (India) Limited,PDPL
1089,1089,PDS Multinational Fashions Limited,PDSMFL
1090,1090,Pearl Polymers Limited,PEARLPOLY
1091,1091,Piramal Enterprises Limited,PEL
1092,1092,Pennar Industries Limited,PENIND
1093,1093,Peninsula Land Limited,PENINLAND
1094,1094,Persistent Systems Limited,PERSISTENT
1095,1095,Petron Engineering Construction Limited,PETRONENGG
1096,1096,Petronet LNG Limited,PETRONET
1097,1097,Power Finance Corporation Limited,PFC
1098,1098,Pfizer Limited,PFIZER
1099,1099,Prime Focus Limited,PFOCUS
1100,1100,PTC India Financial Services Limited,PFS
1101,1101,PG Electroplast Limited,PGEL
1102,1102,Procter & Gamble Hygiene and Health Care Limited,PGHH
1103,1103,Procter & Gamble Health Limited,PGHL
1104,1104,Pearl Global Industries Limited,PGIL
1105,1105,Phillips Carbon Black Limited,PHILIPCARB
1106,1106,The Phoenix Mills Limited,PHOENIXLTD
1107,1107,Pidilite Industries Limited,PIDILITIND
1108,1108,PI Industries Limited,PIIND
1109,1109,Pilani Investment and Industries Corporation Limited,PILANIINVS
1110,1110,PIL ITALICA LIFESTYLE LIMITED,PILITA
1111,1111,Pioneer Distilleries Limited,PIONDIST
1112,1112,Pioneer Embroideries Limited,PIONEEREMB
1113,1113,Piramal Phytocare Limited,PIRPHYTO
1114,1114,Pitti Engineering Limited,PITTIENG
1115,1115,The Peria Karamalai Tea & Produce Company Limited,PKTEA
1116,1116,Plastiblends India Limited,PLASTIBLEN
1117,1117,Punjab National Bank,PNB
1118,1118,PNB Gilts Limited,PNBGILTS
1119,1119,PNB Housing Finance Limited,PNBHOUSING
1120,1120,Pritish Nandy Communications Limited,PNC
1121,1121,PNC Infratech Limited,PNCINFRA
1122,1122,Poddar Housing and Development Limited,PODDARHOUS
1123,1123,Poddar Pigments Limited,PODDARMENT
1124,1124,Pokarna Limited,POKARNA
1125,1125,Polycab India Limited,POLYCAB
1126,1126,Poly Medicure Limited,POLYMED
1127,1127,Polyplex Corporation Limited,POLYPLEX
1128,1128,Ponni Sugars (Erode) Limited,PONNIERODE
1129,1129,Power Grid Corporation of India Limited,POWERGRID
1130,1130,Power Mech Projects Limited,POWERMECH
1131,1131,PPAP Automotive Limited,PPAP
1132,1132,Prakash Pipes Limited,PPL
1133,1133,Prabhat Dairy Limited,PRABHAT
1134,1134,Pradip Overseas Limited,PRADIP
1135,1135,Prajay Engineers Syndicate Limited,PRAENG
1136,1136,Praj Industries Limited,PRAJIND
1137,1137,Prakash Industries Limited,PRAKASH
1138,1138,Prakash Steelage Limited,PRAKASHSTL
1139,1139,Praxis Home Retail Limited,PRAXIS
1140,1140,Precision Camshafts Limited,PRECAM
1141,1141,Precot Meridian Limited,PRECOT
1142,1142,Precision Wires India Limited,PRECWIRE
1143,1143,Premier Explosives Limited,PREMEXPLN
1144,1144,Premier Limited,PREMIER
1145,1145,Premier Polyfilm Limited,PREMIERPOL
1146,1146,Pressman Advertising Limited,PRESSMN
1147,1147,Prestige Estates Projects Limited,PRESTIGE
1148,1148,Pricol Limited,PRICOLLTD
1149,1149,Prime Securities Limited,PRIMESECU
1150,1150,Proseed India Limited,PROSEED
1151,1151,Provogue (India) Limited,PROVOGE
1152,1152,Prozone Intu Properties Limited,PROZONINTU
1153,1153,Prism Johnson Limited,PRSMJOHNSN
1154,1154,Punjab & Sind Bank,PSB
1155,1155,PSL Limited,PSL
1156,1156,PSP Projects Limited,PSPPROJECT
1157,1157,PTC India Limited,PTC
1158,1158,PTL Enterprises Limited,PTL
1159,1159,Punjab Chemicals & Crop Protection Limited,PUNJABCHEM
1160,1160,Punj Lloyd Limited,PUNJLLOYD
1161,1161,Puravankara Limited,PURVA
1162,1162,PVR Limited,PVR
1163,1163,Quess Corp Limited,QUESS
1164,1164,Quick Heal Technologies Limited,QUICKHEAL
1165,1165,Radaan Mediaworks India Limited,RADAAN
1166,1166,Radico Khaitan Limited,RADICO
1167,1167,Music Broadcast Limited,RADIOCITY
1168,1168,Rain Industries Limited,RAIN
1169,1169,Rajesh Exports Limited,RAJESHEXPO
1170,1170,Raj Rayon Industries Limited,RAJRAYON
1171,1171,Rajshree Sugars & Chemicals Limited,RAJSREESUG
1172,1172,Raj Television Network Limited,RAJTV
1173,1173,Rajvir Industries Limited,RAJVIR
1174,1174,Rallis India Limited,RALLIS
1175,1175,Shree Rama Newsprint Limited,RAMANEWS
1176,1176,Rama Steel Tubes Limited,RAMASTEEL
1177,1177,The Ramco Cements Limited,RAMCOCEM
1178,1178,Ramco Industries Limited,RAMCOIND
1179,1179,Ramco Systems Limited,RAMCOSYS
1180,1180,Ramky Infrastructure Limited,RAMKY
1181,1181,Ramsarup Industries Limited,RAMSARUP
1182,1182,Rana Sugars Limited,RANASUG
1183,1183,Rane Engine Valve Limited,RANEENGINE
1184,1184,Rane Holdings Limited,RANEHOLDIN
1185,1185,Ratnamani Metals & Tubes Limited,RATNAMANI
1186,1186,Raymond Limited,RAYMOND
1187,1187,Rane Brake Lining Limited,RBL
1188,1188,RBL Bank Limited,RBLBANK
1189,1189,Rashtriya Chemicals and Fertilizers Limited,RCF
1190,1190,Reliance Communications Limited,RCOM
1191,1191,REC Limited,RECLTD
1192,1192,Redington (India) Limited,REDINGTON
1193,1193,Refex Industries Limited,REFEX
1194,1194,Regency Ceramics Limited,REGENCERAM
1195,1195,Relaxo Footwears Limited,RELAXO
1196,1196,Reliance Capital Limited,RELCAPITAL
1197,1197,Reliance Industries Limited,RELIANCE
1198,1198,Religare Enterprises Limited,RELIGARE
1199,1199,Reliance Infrastructure Limited,RELINFRA
1200,1200,Remsons Industries Limited,REMSONSIND
1201,1201,Shree Renuka Sugars Limited,RENUKA
1202,1202,Repco Home Finance Limited,REPCOHOME
1203,1203,Repro India Limited,REPRO
1204,1204,Responsive Industries Limited,RESPONIND
1205,1205,Revathi Equipment Limited,REVATHI
1206,1206,Renaissance Global Limited,RGL
1207,1207,Reliance Home Finance Limited,RHFL
1208,1208,Rico Auto Industries Limited,RICOAUTO
1209,1209,Reliance Industrial Infrastructure Limited,RIIL
1210,1210,RITES Limited,RITES
1211,1211,Ravi Kumar Distilleries Limited,RKDL
1212,1212,Ramkrishna Forgings Limited,RKFORGE
1213,1213,Radha Madhav Corporation Limited,RMCL
1214,1214,Rane (Madras) Limited,RML
1215,1215,Reliance Nippon Life Asset Management Limited,RNAM
1216,1216,Reliance Naval and Engineering Limited,RNAVAL
1217,1217,Rohit Ferro-Tech Limited,ROHITFERRO
1218,1218,Royal Orchid Hotels Limited,ROHLTD
1219,1219,Rollatainers Limited,ROLLT
1220,1220,Rolta India Limited,ROLTA
1221,1221,Rossell India Limited,ROSSELLIND
1222,1222,RPG Life Sciences Limited,RPGLIFE
1223,1223,Reliance Power Limited,RPOWER
1224,1224,R.P.P. Infra Projects Limited,RPPINFRA
1225,1225,R. S. Software (India) Limited,RSSOFTWARE
1226,1226,RSWM Limited,RSWM
1227,1227,R Systems International Limited,RSYSTEMS
1228,1228,RattanIndia Infrastructure Limited,RTNINFRA
1229,1229,RattanIndia Power Limited,RTNPOWER
1230,1230,The Ruby Mills Limited,RUBYMILLS
1231,1231,Ruchi Infrastructure Limited,RUCHINFRA
1232,1232,Ruchira Papers Limited,RUCHIRA
1233,1233,Ruchi Soya Industries Limited,RUCHISOYA
1234,1234,Rupa & Company Limited,RUPA
1235,1235,Rushil Decor Limited,RUSHIL
1236,1236,Rail Vikas Nigam Limited,RVNL
1237,1237,Sab Events & Governance Now Media Limited,SABEVENTS
1238,1238,Sri Adhikari Brothers Television Network Limited,SABTN
1239,1239,Sadbhav Engineering Limited,SADBHAV
1240,1240,Sadbhav Infrastructure Project Limited,SADBHIN
1241,1241,Safari Industries (India) Limited,SAFARI
