,SNO,NAME OF COMPANY,SYMBOL
1242,1242,Sagardeep Alloys Limited,SAGARDEEP
1243,1243,Sagar Cements Limited,SAGCEM
1244,1244,Steel Authority of India Limited,SAIL
1245,1245,Sakar Healthcare Limited,SAKAR
1246,1246,Sakthi Sugars Limited,SAKHTISUG
1247,1247,Saksoft Limited,SAKSOFT
1248,1248,Sakuma Exports Limited,SAKUMA
1249,1249,Salasar Techno Engineering Limited,SALASAR
1250,1250,Salona Cotspin Limited,SALONA
1251,1251,S.A.L. Steel Limited,SALSTEEL
1252,1252,Salzer Electronics Limited,SALZERELEC
1253,1253,Sambhaav Media Limited,SAMBHAAV
1254,1254,Sanco Industries Limited,SANCO
1255,1255,The Sandesh Limited,SANDESH
1256,1256,Sandhar Technologies Limited,SANDHAR
1257,1257,Sangam (India) Limited,SANGAMIND
1258,1258,Sanghi Industries Limited,SANGHIIND
1259,1259,Sanghvi Forging and Engineering Limited,SANGHVIFOR
1260,1260,Sanghvi Movers Limited,SANGHVIMOV
1261,1261,Sanginita Chemicals Limited,SANGINITA
1262,1262,Sanofi India Limited,SANOFI
1263,1263,Sanwaria Consumer Limited,SANWARIA
1264,1264,Sarda Energy & Minerals Limited,SARDAEN
1265,1265,Saregama India Limited,SAREGAMA
1266,1266,Sarla Performance Fibers Limited,SARLAPOLY
1267,1267,Sasken Technologies Limited,SASKEN
1268,1268,Sastasundar Ventures Limited,SASTASUNDR
1269,1269,Sathavahana Ispat Limited,SATHAISPAT
1270,1270,Satia Industries Limited,SATIA
1271,1271,Satin Creditcare Network Limited,SATIN
1272,1272,SBI Life Insurance Company Limited,SBILIFE
1273,1273,State Bank of India,SBIN
1274,1274,Stampede Capital Limited,SCAPDVR
1275,1275,Schaeffler India Limited,SCHAEFFLER
1276,1276,S Chand And Company Limited,SCHAND
1277,1277,Schneider Electric Infrastructure Limited,SCHNEIDER
1278,1278,Shipping Corporation Of India Limited,SCI
1279,1279,Som Distilleries & Breweries Limited,SDBL
1280,1280,Seamec Limited,SEAMECLTD
1281,1281,Selan Exploration Technology Limited,SELAN
1282,1282,SEL Manufacturing Company Limited,SELMCL
1283,1283,S.E. Power Limited,SEPOWER
1284,1284,Sequent Scientific Limited,SEQUENT
1285,1285,Seshasayee Paper and Boards Limited,SESHAPAPER
1286,1286,Setco Automotive Limited,SETCO
1287,1287,Setubandhan Infrastructure Limited,SETUINFRA
1288,1288,Seya Industries Limited,SEYAIND
1289,1289,Sezal Glass Limited,SEZAL
1290,1290,Sheela Foam Limited,SFL
1291,1291,STL Global Limited,SGL
1292,1292,Shah Alloys Limited,SHAHALLOYS
1293,1293,Shakti Pumps (India) Limited,SHAKTIPUMP
1294,1294,Shalby Limited,SHALBY
1295,1295,Shalimar Paints Limited,SHALPAINTS
1296,1296,Shankara Building Products Limited,SHANKARA
1297,1297,Shanthi Gears Limited,SHANTIGEAR
1298,1298,Sharda Cropchem Limited,SHARDACROP
1299,1299,Sharda Motor Industries Limited,SHARDAMOTR
1300,1300,Shemaroo Entertainment Limited,SHEMAROO
1301,1301,Shilpa Medicare Limited,SHILPAMED
1302,1302,Shirpur Gold Refinery Limited,SHIRPUR-G
1303,1303,Shivam Autotech Limited,SHIVAMAUTO
1304,1304,Shiva Mills Limited,SHIVAMILLS
1305,1305,Shiva Texyarn Limited,SHIVATEX
1306,1306,S H Kelkar and Company Limited,SHK
1307,1307,Shoppers Stop Limited,SHOPERSTOP
1308,1308,Shree Digvijay Cement Co.Ltd,SHREDIGCEM
1309,1309,SHREE CEMENT LIMITED,SHREECEM
1310,1310,Shree Pushkar Chemicals & Fertilisers Limited,SHREEPUSHK
1311,1311,Shree Rama Multi-Tech Limited,SHREERAMA
1312,1312,Shrenik Limited,SHRENIK
1313,1313,Shreyans Industries Limited,SHREYANIND
1314,1314,Shreyas Shipping & Logistics Limited,SHREYAS
1315,1315,Shriram Pistons & Rings Limited,SHRIPISTON
1316,1316,Shriram City Union Finance Limited,SHRIRAMCIT
1317,1317,Shriram EPC Limited,SHRIRAMEPC
1318,1318,Shyam Century Ferrous Limited,SHYAMCENT
1319,1319,Shyam Telecom Limited,SHYAMTEL
1320,1320,Sicagen India Limited,SICAGEN
1321,1321,Sical Logistics Limited,SICAL
1322,1322,Siemens Limited,SIEMENS
1323,1323,Signet Industries Limited,SIGIND
1324,1324,Standard Industries Limited,SIL
1325,1325,SIL Investments Limited,SILINV
1326,1326,Simbhaoli Sugars Limited,SIMBHALS
1327,1327,Simplex Infrastructures Limited,SIMPLEXINF
1328,1328,Sintex Industries Limited,SINTEX
1329,1329,Sirca Paints India Limited,SIRCA
1330,1330,Security and Intelligence Services (India) Limited,SIS
1331,1331,Siti Networks Limited,SITINET
1332,1332,Siyaram Silk Mills Limited,SIYSIL
1333,1333,SJVN Limited,SJVN
1334,1334,SKF India Limited,SKFINDIA
1335,1335,SKIL Infrastructure Limited,SKIL
1336,1336,Skipper Limited,SKIPPER
1337,1337,SKM Egg Products Export (India) Limited,SKMEGGPROD
1338,1338,Smartlink Holdings Limited,SMARTLINK
1339,1339,SML Isuzu Limited,SMLISUZU
1340,1340,Splendid Metal Products Limited,SMPL
1341,1341,SMS Lifesciences India Limited,SMSLIFE
1342,1342,SMS Pharmaceuticals Limited,SMSPHARMA
1343,1343,Snowman Logistics Limited,SNOWMAN
1344,1344,Sobha Limited,SOBHA
1345,1345,Solara Active Pharma Sciences Limited,SOLARA
1346,1346,Solar Industries India Limited,SOLARINDS
1347,1347,Somany Ceramics Limited,SOMANYCERA
1348,1348,Soma Textiles & Industries Limited,SOMATEX
1349,1349,Somi Conveyor Beltings Limited,SOMICONVEY
1350,1350,Sonata Software Limited,SONATSOFTW
1351,1351,SORIL Infra Resources Limited,SORILINFRA
1352,1352,Savita Oil Technologies Limited,SOTL
1353,1353,The South Indian Bank Limited,SOUTHBANK
1354,1354,South West Pinnacle Exploration Limited,SOUTHWEST
1355,1355,S. P. Apparels Limited,SPAL
1356,1356,Spandana Sphoorty Financial Limited,SPANDANA
1357,1357,Sun Pharma Advanced Research Company Limited,SPARC
1358,1358,Spacenet Enterprises India Limited,SPCENET
1359,1359,Speciality Restaurants Limited,SPECIALITY
1360,1360,Spencer’s Retail Limited,SPENCERS
1361,1361,Spentex Industries Limited,SPENTEX
1362,1362,Southern Petrochemicals Industries Corporation Limited,SPIC
1363,1363,SPICEJET LTD,SPICEJET
1364,1364,SPL Industries Limited,SPLIL
1365,1365,SPML Infra Limited,SPMLINFRA
1366,1366,Sintex Plastics Technology Limited,SPTL
1367,1367,Shekhawati Poly-Yarn Limited,SPYL
1368,1368,Sreeleathers Limited,SREEL
1369,1369,SREI Infrastructure Finance Limited,SREINFRA
1370,1370,SRF Limited,SRF
1371,1371,Sree Rayalaseema Hi-Strength Hypo Limited,SRHHYPOLTD
1372,1372,Srikalahasthi Pipes Limited,SRIPIPES
1373,1373,Shriram Transport Finance Company Limited,SRTRANSFIN
1374,1374,Steel Strips Wheels Limited,SSWL
1375,1375,Stampede Capital Limited,STAMPEDE
1376,1376,Strides Pharma Science Limited,STAR
1377,1377,Star Cement Limited,STARCEMENT
1378,1378,Star Paper Mills Limited,STARPAPER
1379,1379,The State Trading Corporation of India Limited,STCINDIA
1380,1380,Steel City Securities Limited,STEELCITY
1381,1381,STEEL EXCHANGE INDIA LIMITED,STEELXIND
1382,1382,Stel Holdings Limited,STEL
1383,1383,Sterling Tools Limited,STERTOOLS
1384,1384,STI India Limited,STINDIA
1385,1385,Sterlite Technologies Limited,STRTECH
1386,1386,International Constructions Limited,SUBCAPCITY
1387,1387,Subex Limited,SUBEX
1388,1388,Subros Limited,SUBROS
1389,1389,Sudarshan Chemical Industries Limited,SUDARSCHEM
1390,1390,Sujana Universal Industries Limited,SUJANAUNI
1391,1391,Sumeet Industries Limited,SUMEETINDS
1392,1392,Sumit Woods Limited,SUMIT
1393,1393,Summit Securities Limited,SUMMITSEC
1394,1394,Sundaram Clayton Limited,SUNCLAYLTD
1395,1395,Sundaram Multi Pap Limited,SUNDARAM
1396,1396,Sundaram Finance Limited,SUNDARMFIN
1397,1397,Sundaram Finance Holdings Limited,SUNDARMHLD
1398,1398,Sundaram Brake Linings Limited,SUNDRMBRAK
1399,1399,Sundram Fasteners Limited,SUNDRMFAST
1400,1400,Sunflag Iron And Steel Company Limited,SUNFLAG
1401,1401,Sun Pharmaceutical Industries Limited,SUNPHARMA
1402,1402,Sunteck Realty Limited,SUNTECK
1403,1403,Sun TV Network Limited,SUNTV
1404,1404,Superhouse Limited,SUPERHOUSE
1405,1405,Super Spinning Mills Limited,SUPERSPIN
1406,1406,Supreme Petrochem Limited,SUPPETRO
1407,1407,Suprajit Engineering Limited,SUPRAJIT
1408,1408,Supreme Industries Limited,SUPREMEIND
1409,1409,Supreme Infrastructure India Limited,SUPREMEINF
1410,1410,Surana Solar Limited,SURANASOL
1411,1411,Surana Telecom and Power Limited,SURANAT&P
1412,1412,Suryalakshmi Cotton Mills Limited,SURYALAXMI
1413,1413,Surya Roshni Limited,SURYAROSNI
1414,1414,Sutlej Textiles and Industries Limited,SUTLEJTEX
1415,1415,Suven Life Sciences Limited,SUVEN
1416,1416,Suzlon Energy Limited,SUZLON
1417,1417,Swan Energy Limited,SWANENERGY
1418,1418,Swaraj Engines Limited,SWARAJENG
1419,1419,Swelect Energy Systems Limited,SWELECTES
1420,1420,Sterling And Wilson Solar Limited,SWSOLAR
1421,1421,Symphony Limited,SYMPHONY
1422,1422,Syncom Healthcare Limited,SYNCOM
1423,1423,Syndicate Bank,SYNDIBANK
1424,1424,Syngene International Limited,SYNGENE
1425,1425,Tainwala Chemical and Plastic (I) Limited,TAINWALCHM
1426,1426,Taj GVK Hotels & Resorts Limited,TAJGVK
1427,1427,Take Solutions Limited,TAKE
1428,1428,Talbros Automotive Components Limited,TALBROAUTO
1429,1429,Talwalkars Better Value Fitness Limited,TALWALKARS
1430,1430,Talwalkars Healthclubs Limited,TALWGYM
1431,1431,Tanla Solutions Limited,TANLA
1432,1432,Tantia Constructions Limited,TANTIACONS
1433,1433,Tarapur Transformers Limited,TARAPUR
1434,1434,Tarmat Limited,TARMAT
1435,1435,Tasty Bite Eatables Limited,TASTYBITE
1436,1436,Tata Chemicals Limited,TATACHEM
1437,1437,Tata Coffee Limited,TATACOFFEE
1438,1438,Tata Communications Limited,TATACOMM
1439,1439,Tata Elxsi Limited,TATAELXSI
1440,1440,Tata Global Beverages Limited,TATAGLOBAL
1441,1441,Tata Investment Corporation Limited,TATAINVEST
1442,1442,Tata Metaliks Limited,TATAMETALI
1443,1443,Tata Motors Limited,TATAMOTORS
1444,1444,Tata Motors Limited,TATAMTRDVR
1445,1445,Tata Power Company Limited,TATAPOWER
1446,1446,Tata Steel Limited,TATASTEEL
1447,1447,Tata Steel Bsl Limited,TATASTLBSL
1448,1448,Tata Steel Long Products Limited,TATASTLLP
1449,1449,Tribhovandas Bhimji Zaveri Limited,TBZ
1450,1450,Transport Corporation of India Limited,TCI
1451,1451,TCI Developers Limited,TCIDEVELOP
1452,1452,TCI Express Limited,TCIEXP
1453,1453,TCI Finance Limited,TCIFINANCE
1454,1454,TCNS Clothing Co. Limited,TCNSBRANDS
1455,1455,TCPL Packaging Limited,TCPLPACK
1456,1456,Tata Consultancy Services Limited,TCS
1457,1457,TD Power Systems Limited,TDPOWERSYS
1458,1458,Teamlease Services Limited,TEAMLEASE
1459,1459,Techindia Nirman Limited,TECHIN
1460,1460,Tech Mahindra Limited,TECHM
1461,1461,Techno Electric & Engineering Company Limited,TECHNOE
1462,1462,Technofab Engineering Limited,TECHNOFAB
1463,1463,Tejas Networks Limited,TEJASNET
1464,1464,Tera Software Limited,TERASOFT
1465,1465,Texmaco Infrastructure & Holdings Limited,TEXINFRA
1466,1466,Texmo Pipes and Products Limited,TEXMOPIPES
1467,1467,Texmaco Rail & Engineering Limited,TEXRAIL
1468,1468,Texmaco Rail & Engineering Limited,TEXRAIL
1469,1469,Tourism Finance Corporation of India Limited,TFCILTD
1470,1470,Transwarranty Finance Limited,TFL
1471,1471,TGB Banquets And Hotels Limited,TGBHOTELS
1472,1472,TGB Banquets And Hotels Limited,TGBHOTELS
1473,1473,Thangamayil Jewellery Limited,THANGAMAYL
1474,1474,The Investment Trust Of India Limited,THEINVEST
1475,1475,Themis Medicare Limited,THEMISMED
1476,1476,Thermax Limited,THERMAX
1477,1477,Thiru Arooran Sugars Limited,THIRUSUGAR
1478,1478,Thomas Cook (India) Limited,THOMASCOOK
1479,1479,Thomas Scott (India) Limited,THOMASCOTT
1480,1480,Thyrocare Technologies Limited,THYROCARE
1481,1481,Tilaknagar Industries Limited,TI
1482,1482,Tide Water Oil Company (India) Limited,TIDEWATER
1483,1483,Technocraft Industries (India) Limited,TIIL
1484,1484,Tube Investments of India Limited,TIINDIA
1485,1485,Tijaria Polypipes Limited,TIJARIA
1486,1486,TIL Limited,TIL
1487,1487,Times Guaranty Limited,TIMESGTY
1488,1488,Time Technoplast Limited,TIMETECHNO
1489,1489,Timken India Limited,TIMKEN
1490,1490,The Tinplate Company of India Limited,TINPLATE
1491,1491,TIPS Industries Limited,TIPSINDLTD
1492,1492,Thirumalai Chemicals Limited,TIRUMALCHM
1493,1493,Titan Company Limited,TITAN
1494,1494,The Mandhana Retail Ventures Limited,TMRVL
1495,1495,Tamilnadu PetroProducts Limited,TNPETRO
1496,1496,Tamil Nadu Newsprint & Papers Limited,TNPL
1497,1497,Tamilnadu Telecommunication Limited,TNTELE
1498,1498,Tokyo Plast International Limited,TOKYOPLAST
1499,1499,Torrent Pharmaceuticals Limited,TORNTPHARM
1500,1500,Torrent Power Limited,TORNTPOWER
1501,1501,TPL Plastech Limited,TPLPLASTEH
1502,1502,Tree House Education & Accessories Limited,TREEHOUSE
1503,1503,TREJHARA SOLUTIONS LIMITED,TREJHARA
1504,1504,Trent Limited,TRENT
1505,1505,TRF Limited,TRF
1506,1506,Trident Limited,TRIDENT
1507,1507,Trigyn Technologies Limited,TRIGYN
1508,1508,Transformers And Rectifiers (India) Limited,TRIL
1509,1509,Triveni Turbine Limited,TRITURBINE
1510,1510,Triveni Engineering & Industries Limited,TRIVENI
1511,1511,TTK Healthcare Limited,TTKHLTCARE
1512,1512,TTK Prestige Limited,TTKPRESTIG
1513,1513,T T Limited,TTL
1514,1514,Tata Teleservices (Maharashtra) Limited,TTML
1515,1515,TV18 Broadcast Limited,TV18BRDCST
1516,1516,TVS Electronics Limited,TVSELECT
1517,1517,TVS Motor Company Limited,TVSMOTOR
1518,1518,TVS Srichakra Limited,TVSSRICHAK
1519,1519,TV Today Network Limited,TVTODAY
1520,1520,TV Vision Limited,TVVISION
1521,1521,Titagarh Wagons Limited,TWL
1522,1522,United Breweries Limited,UBL
1523,1523,Ucal Fuel Systems Limited,UCALFUEL
1524,1524,UCO Bank,UCOBANK
1525,1525,UFLEX Limited,UFLEX
1526,1526,UFO Moviez India Limited,UFO
1527,1527,The Ugar Sugar Works Limited,UGARSUGAR
1528,1528,Ujaas Energy Limited,UJAAS
1529,1529,Ujjivan Financial Services Limited,UJJIVAN
1530,1530,UltraTech Cement Limited,ULTRACEMCO
1531,1531,Umang Dairies Limited,UMANGDAIRY
1532,1532,Usha Martin Education & Solutions Limited,UMESLTD
1533,1533,Unichem Laboratories Limited,UNICHEMLAB
1534,1534,Uniphos Enterprises Limited,UNIENTER
1535,1535,Union Bank of India,UNIONBANK
1536,1536,Uniply Industries Limited,UNIPLY
1537,1537,Unitech Limited,UNITECH
1538,1538,United Bank of India,UNITEDBNK
1539,1539,The United Nilgiri Tea Estates Company Limited,UNITEDTEA
1540,1540,Unity Infraprojects Limited,UNITY
1541,1541,Universal Cables Limited,UNIVCABLES
1542,1542,UPL Limited,UPL
1543,1543,Urja Global Limited,URJA
1544,1544,Usha Martin Limited,USHAMART
1545,1545,Uttam Galva Steels Limited,UTTAMSTL
1546,1546,Uttam Sugar Mills Limited,UTTAMSUGAR
1547,1547,Uttam Value Steels Limited,UVSL
1548,1548,V2 Retail Limited,V2RETAIL
1549,1549,Vadilal Industries Limited,VADILALIND
1550,1550,Vaibhav Global Limited,VAIBHAVGBL
1551,1551,Vakrangee Limited,VAKRANGEE
1552,1552,Vardhman Acrylics Limited,VARDHACRLC
1553,1553,Vardhman Polytex Limited,VARDMNPOLY
1554,1554,Varroc Engineering Limited,VARROC
1555,1555,Vascon Engineers Limited,VASCONEQ
1556,1556,Vaswani Industries Limited,VASWANI
1557,1557,Varun Beverages Limited,VBL
1558,1558,Vedanta Limited,VEDL
1559,1559,Venky’s (India) Limited,VENKEYS
1560,1560,Venus Remedies Limited,VENUSREM
1561,1561,Vesuvius India Limited,VESUVIUS
1562,1562,Veto Switchgears And Cables Limited,VETO
1563,1563,V-Guard Industries Limited,VGUARD
1564,1564,Vardhman Holdings Limited,VHL
1565,1565,Viceroy Hotels Limited,VICEROY
1566,1566,Videocon Industries Limited,VIDEOIND
1567,1567,Vidhi Specialty Food Ingredients Limited,VIDHIING
1568,1568,Viji Finance Limited,VIJIFIN
1569,1569,Vikas EcoTech Limited,VIKASECO
1570,1570,Vikas Multicorp Limited,VIKASMCORP
1571,1571,Vikas Proppant & Granite Limited,VIKASPROP
1572,1572,Vikas WSP Limited,VIKASWSP
1573,1573,Vimal Oil & Foods Limited,VIMALOIL
1574,1574,Vimta Labs Limited,VIMTALABS
1575,1575,Vinati Organics Limited,VINATIORGA
1576,1576,Vindhya Telelinks Limited,VINDHYATEL
1577,1577,Vinyl Chemicals (India) Limited,VINYLINDIA
1578,1578,VIP Clothing Limited,VIPCLOTHNG
1579,1579,VIP Industries Limited,VIPIND
1580,1580,Vipul Limited,VIPULLTD
1581,1581,Visaka Industries Limited,VISAKAIND
1582,1582,Visa Steel Limited,VISASTEEL
1583,1583,Visesh Infotecnics Limited,VISESHINFO
1584,1584,Vishal Fabrics Limited,VISHAL
1585,1585,Vishnu Chemicals Limited,VISHNU
1586,1586,Vishwaraj Sugar Industries Limited,VISHWARAJ
1587,1587,Visagar Polytex Limited,VIVIDHA
1588,1588,Vivimed Labs Limited,VIVIMEDLAB
1589,1589,VLS Finance Limited,VLSFINANCE
1590,1590,V-Mart Retail Limited,VMART
1591,1591,Voltamp Transformers Limited,VOLTAMP
1592,1592,Voltas Limited,VOLTAS
1593,1593,VRL Logistics Limited,VRLLOG
1594,1594,Vardhman Special Steels Limited,VSSL
1595,1595,VST Industries Limited,VSTIND
1596,1596,V.S.T Tillers Tractors Limited,VSTTILLERS
1597,1597,Vardhman Textiles Limited,VTL
1598,1598,VA Tech Wabag Limited,WABAG
1599,1599,WABCO India Limited,WABCOINDIA
1600,1600,Walchandnagar Industries Limited,WALCHANNAG
1601,1601,Wanbury Limited,WANBURY
1602,1602,Waterbase Limited,WATERBASE
1603,1603,Websol Energy System Limited,WEBELSOLAR
1604,1604,Weizmann Forex Limited,WEIZFOREX
1605,1605,Weizmann Limited,WEIZMANIND
1606,1606,Welspun Corp Limited,WELCORP
1607,1607,Welspun Enterprises Limited,WELENT
1608,1608,Welspun Investments and Commercials Limited,WELINV
1609,1609,Welspun India Limited,WELSPUNIND
1610,1610,Wendt (India) Limited,WENDT
1611,1611,Westlife Development Ltd,WESTLIFE
1612,1612,Wheels India Limited,WHEELS
1613,1613,Whirlpool of India Limited,WHIRLPOOL
1614,1614,Williamson Magor & Company Limited,WILLAMAGOR
1615,1615,Windsor Machines Limited,WINDMACHIN
1616,1616,Winsome Yarns Limited,WINSOME
1617,1617,The Western India Plywoods Limited,WIPL
1618,1618,Wipro Limited,WIPRO
1619,1619,Wockhardt Limited,WOCKPHARMA
1620,1620,Wonderla Holidays Limited,WONDERLA
1621,1621,W S Industries (I) Limited,WSI
1622,1622,West Coast Paper Mills Limited,WSTCSTPAPR
1623,1623,Xchanging Solutions Limited,XCHANGING
1624,1624,Xelpmoc Design And Tech Limited,XELPMOC
1625,1625,XL Energy Limited,XLENERGY
1626,1626,Xpro India Limited,XPROINDIA
1627,1627,Yes Bank Limited,YESBANK
1628,1628,Zee Entertainment Enterprises Limited,ZEEL
1629,1629,Zee Learn Limited,ZEELEARN
1630,1630,Zee Media Corporation Limited,ZEEMEDIA
1631,1631,Zenith Birla (India) Limited,ZENITHBIR
1632,1632,Zenith Exports Limited,ZENITHEXPO
1633,1633,Zensar Technologies Limited,ZENSARTECH
1634,1634,Zen Technologies Limited,ZENTEC
1635,1635,Zicom Electronic Security Systems Limited,ZICOM
1636,1636,Zodiac Clothing Company Limited,ZODIACLOTH
1637,1637,Zodiac JRD- MKJ Limited,ZODJRDMKJ
1638,1638,Zota Health Care LImited,ZOTA
1639,1639,Zuari Agro Chemicals Limited,ZUARI
1640,1640,Zuari Global Limited,ZUARIGLOB
1641,1641,Zydus Wellness Limited,ZYDUSWELL
